,MON(AT),MON(AP),OVERALL
ALLAHBAD*(NOV),12.98,10.76,1
SATNA*(NOV),12.61,12.87,1
KANPUR*(NOV),12.4,5.45,1
MUGAL SARAI*(NOV),13.24,11.73,1
FATEPUR*(NOV),12.66,9.05,0
DELHI**(NOV),12.29,4.92,1
KANPUR CENTRAL*(NOV),12.4,5.45,1
GHAZIABAD*(NOV),12.42,5.36,1
KHURJA JN*(NOV),12.64,3.93,1
FARIDABAD JN*(NOV),12.75,6.11,0
DELHI CANTT*(NOV),12.29,4.92,0
GORAKPUR***(NOV),14.24,5.48,1
DEORIA *(NOV),14.33,6.35,1
CHAURI CHAURA*(NOV),14.24,5.48,0
KHALILABAD*(NOV),14.12,4.56,1
GONDA*(NOV),13.54,3.05,0
JABALPUR***(NOV),13.33,17.38,1
KATNI*(NOV),13.15,13.35,1
MAHIAR*(NOV),12.61,12.87,1
ITARSI*(NOV),13.85,23.55,0
NARSINGHPUR*(NOV),13,21.85,0
JAIPUR***(NOV),13.07,5.96,1
DAUSA*(NOV),13.83,6.96,0
BANDIKUI*(NOV),13.83,6.96,1
BHARATPUR*(NOV),13.28,6.46,0
ALWAR*(NOV),12.82,6.21,1
KOLKATA***(NOV),18.64,16.6,1
DHANBAD *(NOV),14.48,9.88,0
BARDDHAMAN*(NOV),16.69,8.71,1
ASANSOL*(NOV),16.69,8.71,1
BANDEL*(NOV),18.04,13.59,0
ALLAHBAD***(DEC),8.88,5.9,1
SATNA*(DEC),8.94,10.34,1
KANPUR*(DEC),7.87,8.46,0
MUGAL SARAI*(DEC),9.04,3.7,1
FATEPUR*(DEC),8.5,7.87,0
DELHI***(DEC),7.76,5.09,1
KANPUR CENTRAL*(DEC),7.87,8.46,1
GHAZIABAD*(DEC),7.8,5.71,1
KHURJA JN*(DEC),7.96,5.47,1
FARIDABAD JN*(DEC),8.11,4.56,0
DELHI CANTT*(DEC),7.76,5.09,0
GORAKPUR***(DEC),9.83,3.43,1
DEORIA *(DEC),9.94,3.01,1
CHAURI CHAURA*(DEC),9.83,3.43,0
KHALILABAD*(DEC),9.71,4.36,0
GONDA*(DEC),9.15,6.88,1
JABALPUR***(DEC),10.36,11.82,1
KATNI*(DEC),9.77,12.72,1
MAHIAR*(DEC),8.94,10.34,1
ITARSI*(DEC),11.22,9.43,0
NARSINGHPUR*(DEC),10.33,9.42,1
JAIPUR***(DEC),8.88,4.1,1
DAUSA*(DEC),9.54,4.06,0
BANDIKUI*(DEC),9.54,4.06,0
BHARATPUR*(DEC),8.76,4.64,1
ALWAR*(DEC),8.44,4.58,1
KOLKATA***(DEC),14.46,6.5,1
DHANBAD*(DEC),10.56,3.22,0
BARDDHAMAN*(DEC),12.3,3.36,1
ASANSOL*(DEC),12.3,3.36,1
BANDEL*(DEC),13.75,5.15,1
ALLAHBAD***(JAN),8.7,23.51,1
SATNA*(JAN),8.85,25.69,1
KANPUR*(JAN),7.72,17.95,0
MUGAL SARAI*(JAN),8.83,20.87,1
FATEPUR*(JAN),8.27,20.39,0
DELHI***(JAN),6.87,14.92,1
KANPUR CENTRAL*(JAN),7.72,17.95,0
GHAZIABAD*(JAN),6.92,16.09,0
KHURJA JN*(JAN),7.06,13.89,1
FARIDABAD JN*(JAN),7.21,12.02,0
DELHI CANTT*(JAN),6.87,14.92,0
GORAKPUR***(JAN),8.88,14.15,1
DEORIA *(JAN),9.08,13.72,0
CHAURI CHAURA*(JAN),8.88,14.15,0
KHALILABAD*(JAN),8.77,13.79,1
GONDA*(JAN),8.45,14.52,1
JABALPUR***(JAN),1065,19.32,1
KATNI*(JAN),10,22.43,0
MAHIAR*(JAN),8.85,25.69,1
ITARSI*(JAN),11.41,8.76,0
NARSINGHPUR*(JAN),10.57,13.91,0
JAIPUR***(JAN),7.87,5.31,1
DAUSA*(JAN),8.51,5.41,1
BANDIKUI*(JAN),8.51,5.41,1
BHARATPUR*(JAN),7.79,8.43,1
ALWAR*(JAN),7.37,8.35,1
KOLKATA***(JAN),14.22,12.93,1
DHANBAD*(JAN),10.77,17.64,0
BARDDHAMAN*(JAN),12.33,11.7,1
ASANSOL*(JAN),12.33,11.7,1
BANDEL*(JAN),13.67,12.54,1
ALLAHBAD***(FEB),10.93,17.87,1
SATNA*(FEB),11.05,20.44,1
KANPUR*(FEB),10.03,9.73,0
MUGAL SARAI*(FEB),11.03,19.08,0
FATEPUR*(FEB),10.53,10.72,1
DELHI***(FEB),9.4,13.11,1
KANPUR CENTRAL*(FEB),10.03,9.73,0
GHAZIABAD*(FEB),9.52,14.48,1
KHURJA JN*(FEB),9.78,13.3,1
FARIDABAD JN*(FEB),9.68,11.41,0
DELHI CANTT*(FEB),9.4,13.11,1
GORAKPUR***(FEB),11.17,13.28,1
DEORIA *(FEB),11.33,12.98,0
CHAURI CHAURA*(FEB),11.17,13.28,1
KHALILABAD*(FEB),11.08,12.72,1
GONDA*(FEB),10.61,12.1,1
JABALPUR***(FEB),12.66,22.71,1
KATNI*(FEB),12.14,23.09,1
MAHIAR*(FEB),11.05,20.44,1
ITARSI*(FEB),13.21,7.77,0
NARSINGHPUR*(FEB),12.41,14.92,0
JAIPUR***(FEB),10.44,6.48,1
DAUSA*(FEB),11,6.65,0
BANDIKUI*(FEB),11,6.65,0
BHARATPUR*(FEB),10.32,7.52,1
ALWAR*(FEB),9.83,10.14,1
KOLKATA***(FEB),17.14,27.41,1
DHANBAD*(FEB),13.16,30.26,1
BARDDHAMAN*(FEB),15.06,26.86,0
ASANSOL*(FEB),15.06,26.86,1
BANDEL*(FEB),16.51,27.98,1
ALLAHBAD***(AVG),10.37,14.51,1
SATNA*(AVG),10.36,17.33,1
KANPUR*(AVG),9.505,10.39,1
MUGAL SARAI*(AVG),10.685,13.84,1
FATEPUR*(AVG),9.99,12,1
DELHI***(AVG),9.08,9.51,1
KANPUR CENTRAL*(AVG),10.24,10.39,1
GHAZIABAD*(AVG),9.165,10.41,0
KHURJA JN*(AVG),9.36,9.14,1
FARIDABAD JN*(AVG),9.43,8.525,0
DELHI CANTT*(AVG),9.08,9.51,1
GORAKPUR***(AVG),11.0225,9.085,1
DEORIA *(AVG),11.17,9.015,1
CHAURI CHAURA*(AVG),11.0225,9.085,0
KHALILABAD*(AVG),10.92,8.8575,1
GONDA*(AVG),10.43,9.1375,0
JABALPUR***(AVG),11.75,25.72,1
KATNI*(AVG),11.265,17.89,1
MAHIAR*(AVG),10.36,17.33,1
ITARSI*(AVG),12.42,12.37,0
NARSINGHPUR*(AVG),11.57,15.025,1
JAIPUR***(AVG),10.065,5.46,1
DAUSA*(AVG),10.72,5.77,1
BANDIKUI*(AVG),10.72,5.77,1
BHARATPUR*(AVG),8.78,6.76,1
ALWAR*(AVG),9.615,7.32,1
KOLKATA***(AVG),16.115,15.86,1
DHANBAD*(AVG),12.24,15.25,0
BARDDHAMAN*(AVG),14.095,12.65,1
ASANSOL*(AVG),14.095,12.65,1
BANDEL*(AVG),15.49,14.815,0
